nl,code
from threading import local into default name space.,from threading import local
import module warnings.,import warnings
from django.conf import settings into default name space.,from django . conf import settings
from django.core import signals into default name space.,from django . core import signals
"from django.core.cache.backends.base import InvalidCacheBackendError, CacheKeyWarning and BaseCache into default name space.","from django . core . cache . backends . base import ( InvalidCacheBackendError , CacheKeyWarning , BaseCache )"
from django.core.exceptions import ImproperlyConfigured into default name space.,from django . core . exceptions import ImproperlyConfigured
from django.utils.deprecation import RemovedInDjango19Warning into default name space.,from django . utils . deprecation import RemovedInDjango19Warning
from django.utils.module_loading import import_string into default name space.,from django . utils . module_loading import import_string
"__all__ is an list containing 6 elements: 'get_cache', 'cache', 'DEFAULT_CACHE_ALIAS', 'InvalidCacheBackendError',","__all__ = [ 'get_cache' , 'cache' , 'DEFAULT_CACHE_ALIAS' , 'InvalidCacheBackendError' , 'CacheKeyWarning' , 'BaseCache' , ]"
'CacheKeyWarning' and 'BaseCache' DEFAULT_CACHE_ALIAS is a string 'default'.,DEFAULT_CACHE_ALIAS = 'default'
"if DEFAULT_CACHE_ALIAS is not contained in settings.CACHES,",if DEFAULT_CACHE_ALIAS not in settings . CACHES :
"raise an exception ImproperlyConfigured with string ""You must define a '%s' cache"" as argument, with '%s' replaced with DEFAULT_CACHE_ALIAS converted into a string.","raise ImproperlyConfigured ( ""You must define a '%s' cache"" % DEFAULT_CACHE_ALIAS )"
define the function get_cache with backend and dictionary pair of elements kwargs as arguments.,"def get_cache ( backend , ** kwargs ) :"
"call the function warnings.warn with string ""'get_cache' is deprecated in favor of 'caches'."", RemovedInDjango19Warning,","warnings . warn ( ""'get_cache' is deprecated in favor of 'caches'."" , RemovedInDjango19Warning , stacklevel = 2 )"
"and stacklevel set to 2 as arguments. call the _create_cache with backend and dictionary kwargs as arguments, substitute the result for cache.","cache = _create_cache ( backend , ** kwargs )"
call the function signals.request_finished.connect with argument cache.close.,signals . request_finished . connect ( cache . close )
return cache.,return cache
define the function _create_cache with backend and dictionary pair of elements kwargs as arguments.,"def _create_cache ( backend , ** kwargs ) :"
"try,",try :
"try,",try :
substitute value under the backend key of settings.CACHES dictionary for conf.,conf = settings . CACHES [ backend ]
"if KeyError exception is caught,",except KeyError :
"try,",try :
